Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Oconee County, South Carolina",77528,29844,13436,17.33%,Oconee County,South Carolina
"Orangeburg County, South Carolina",87687,20716,20037,22.85%,Orangeburg County,South Carolina
"Pickens County, South Carolina",124029,26061,19466,15.69%,Pickens County,South Carolina
"Richland County, South Carolina",411357,30175,61868,15.04%,Richland County,South Carolina
"Saluda County, South Carolina",20303,22814,3014,14.85%,Saluda County,South Carolina
"Spartanburg County, South Carolina",307617,27240,41995,13.65%,Spartanburg County,South Carolina
"Sumter County, South Carolina",106757,23460,19491,18.26%,Sumter County,South Carolina
"Union County, South Carolina",27490,23470,5834,21.22%,Union County,South Carolina
"Williamsburg County, South Carolina",31324,18257,7828,24.99%,Williamsburg County,South Carolina
"York County, South Carolina",265872,34010,27365,10.29%,York County,South Carolina
"Aurora County, South Dakota",2763,37086,140,5.07%,Aurora County,South Dakota
"Beadle County, South Dakota",18346,27655,2910,15.86%,Beadle County,South Dakota
"Bennett County, South Dakota",3425,17793,1193,34.83%,Bennett County,South Dakota
"Bon Homme County, South Dakota",6929,24131,578,8.34%,Bon Homme County,South Dakota
"Brookings County, South Dakota",34601,28330,4564,13.19%,Brookings County,South Dakota
"Brown County, South Dakota",38915,33122,3950,10.15%,Brown County,South Dakota
"Brule County, South Dakota",5258,31874,683,12.99%,Brule County,South Dakota
"Buffalo County, South Dakota",2026,11995,794,39.19%,Buffalo County,South Dakota
"Butte County, South Dakota",10225,26961,1125,11.0%,Butte County,South Dakota
"Campbell County, South Dakota",1485,32684,59,3.97%,Campbell County,South Dakota
"Charles Mix County, South Dakota",9349,22347,1716,18.35%,Charles Mix County,South Dakota
"Clark County, South Dakota",3685,30991,325,8.82%,Clark County,South Dakota
"Clay County, South Dakota",13957,28192,2644,18.94%,Clay County,South Dakota
"Codington County, South Dakota",28026,30043,3551,12.67%,Codington County,South Dakota
"Corson County, South Dakota",4150,16449,1844,44.43%,Corson County,South Dakota
"Custer County, South Dakota",8719,33649,1164,13.35%,Custer County,South Dakota
"Davison County, South Dakota",19871,31560,2692,13.55%,Davison County,South Dakota
"Day County, South Dakota",5486,29808,893,16.28%,Day County,South Dakota
"Deuel County, South Dakota",4318,30601,371,8.59%,Deuel County,South Dakota
"Dewey County, South Dakota",5833,17504,1809,31.01%,Dewey County,South Dakota
"Douglas County, South Dakota",2929,30033,178,6.08%,Douglas County,South Dakota
"Edmunds County, South Dakota",3909,34628,177,4.53%,Edmunds County,South Dakota
"Fall River County, South Dakota",6747,27556,913,13.53%,Fall River County,South Dakota
"Faulk County, South Dakota",2312,27569,332,14.36%,Faulk County,South Dakota
"Grant County, South Dakota",7149,31479,643,8.99%,Grant County,South Dakota
"Gregory County, South Dakota",4186,26546,594,14.19%,Gregory County,South Dakota
"Haakon County, South Dakota",2018,24333,241,11.94%,Haakon County,South Dakota
"Hamlin County, South Dakota",6025,28822,332,5.51%,Hamlin County,South Dakota
"Hand County, South Dakota",3256,33200,262,8.05%,Hand County,South Dakota
"Hanson County, South Dakota",3399,24948,260,7.65%,Hanson County,South Dakota
"Harding County, South Dakota",1306,31819,92,7.04%,Harding County,South Dakota
"Hughes County, South Dakota",17608,33677,1855,10.53%,Hughes County,South Dakota
"Hutchinson County, South Dakota",7308,28872,675,9.24%,Hutchinson County,South Dakota
"Hyde County, South Dakota",1319,34034,135,10.24%,Hyde County,South Dakota
"Jackson County, South Dakota",3290,13528,1448,44.01%,Jackson County,South Dakota
"Jerauld County, South Dakota",2018,42660,157,7.78%,Jerauld County,South Dakota
"Jones County, South Dakota",793,27139,98,12.36%,Jones County,South Dakota
"Kingsbury County, South Dakota",4944,35773,397,8.03%,Kingsbury County,South Dakota
"Lake County, South Dakota",12717,33728,1526,12.0%,Lake County,South Dakota
"Lawrence County, South Dakota",25478,31712,3096,12.15%,Lawrence County,South Dakota
"Lincoln County, South Dakota",56826,40059,2303,4.05%,Lincoln County,South Dakota
"Lyman County, South Dakota",3848,22850,778,20.22%,Lyman County,South Dakota
"McCook County, South Dakota",5548,29020,521,9.39%,McCook County,South Dakota
"McPherson County, South Dakota",2297,28559,304,13.23%,McPherson County,South Dakota
"Marshall County, South Dakota",4891,32472,406,8.3%,Marshall County,South Dakota
"Meade County, South Dakota",27717,28809,1847,6.66%,Meade County,South Dakota
"Mellette County, South Dakota",2052,13784,1042,50.78%,Mellette County,South Dakota
"Miner County, South Dakota",2211,28381,148,6.69%,Miner County,South Dakota
"Minnehaha County, South Dakota",188674,31716,18246,9.67%,Minnehaha County,South Dakota
"Moody County, South Dakota",6507,31300,726,11.16%,Moody County,South Dakota
"Oglala Lakota County, South Dakota",14335,10388,6569,45.82%,Oglala Lakota County,South Dakota
"Pennington County, South Dakota",110685,31874,14833,13.4%,Pennington County,South Dakota
"Perkins County, South Dakota",2897,33678,261,9.01%,Perkins County,South Dakota
"Potter County, South Dakota",2315,32379,167,7.21%,Potter County,South Dakota
"Roberts County, South Dakota",10287,26243,2027,19.7%,Roberts County,South Dakota
"Sanborn County, South Dakota",2379,32745,205,8.62%,Sanborn County,South Dakota
"Spink County, South Dakota",6483,35393,627,9.67%,Spink County,South Dakota
"Stanley County, South Dakota",3017,42838,140,4.64%,Stanley County,South Dakota
"Sully County, South Dakota",1305,39226,103,7.89%,Sully County,South Dakota
"Todd County, South Dakota",10195,10739,5584,54.77%,Todd County,South Dakota
"Tripp County, South Dakota",5458,27036,1037,19.0%,Tripp County,South Dakota
"Turner County, South Dakota",8300,30677,886,10.67%,Turner County,South Dakota
"Union County, South Dakota",15368,42411,1305,8.49%,Union County,South Dakota
"Walworth County, South Dakota",5457,32563,519,9.51%,Walworth County,South Dakota
"Yankton County, South Dakota",22717,31772,2372,10.44%,Yankton County,South Dakota
"Ziebach County, South Dakota",2791,16555,1181,42.31%,Ziebach County,South Dakota
"Anderson County, Tennessee",76061,28455,12481,16.41%,Anderson County,Tennessee
"Bedford County, Tennessee",48292,24864,6818,14.12%,Bedford County,Tennessee
"Benton County, Tennessee",16140,22636,3122,19.34%,Benton County,Tennessee
"Bledsoe County, Tennessee",14836,21700,3162,21.31%,Bledsoe County,Tennessee
"Blount County, Tennessee",129927,30548,14179,10.91%,Blount County,Tennessee
"Bradley County, Tennessee",105749,26655,16333,15.45%,Bradley County,Tennessee
"Campbell County, Tennessee",39797,24212,8158,20.5%,Campbell County,Tennessee
"Cannon County, Tennessee",14178,26435,2216,15.63%,Cannon County,Tennessee
"Carroll County, Tennessee",27886,22394,5009,17.96%,Carroll County,Tennessee
"Carter County, Tennessee",56433,23205,12079,21.4%,Carter County,Tennessee
"Cheatham County, Tennessee",40181,27893,4190,10.43%,Cheatham County,Tennessee
"Chester County, Tennessee",17190,22629,2524,14.68%,Chester County,Tennessee
"Claiborne County, Tennessee",31732,21566,6825,21.51%,Claiborne County,Tennessee
"Clay County, Tennessee",7654,18983,1969,25.73%,Clay County,Tennessee
"Cocke County, Tennessee",35552,21867,8242,23.18%,Cocke County,Tennessee
"Coffee County, Tennessee",55209,26557,7613,13.79%,Coffee County,Tennessee
"Crockett County, Tennessee",14399,23771,2524,17.53%,Crockett County,Tennessee
"Cumberland County, Tennessee",59216,25832,8020,13.54%,Cumberland County,Tennessee
"Davidson County, Tennessee",687488,36440,99119,14.42%,Davidson County,Tennessee
"Decatur County, Tennessee",11686,23857,2016,17.25%,Decatur County,Tennessee
"DeKalb County, Tennessee",19847,25399,3564,17.96%,DeKalb County,Tennessee
"Dickson County, Tennessee",52680,27115,7064,13.41%,Dickson County,Tennessee
"Dyer County, Tennessee",37416,27710,6788,18.14%,Dyer County,Tennessee
"Fayette County, Tennessee",40164,33383,5327,13.26%,Fayette County,Tennessee
"Fentress County, Tennessee",18213,20093,3649,20.04%,Fentress County,Tennessee
"Franklin County, Tennessee",41725,28317,5696,13.65%,Franklin County,Tennessee
"Gibson County, Tennessee",49228,23211,7600,15.44%,Gibson County,Tennessee
"Giles County, Tennessee",29285,25690,4186,14.29%,Giles County,Tennessee
"Grainger County, Tennessee",23101,23595,4146,17.95%,Grainger County,Tennessee
"Greene County, Tennessee",68834,25190,11119,16.15%,Greene County,Tennessee
"Grundy County, Tennessee",13344,20592,2977,22.31%,Grundy County,Tennessee
"Hamblen County, Tennessee",64132,23517,10828,16.88%,Hamblen County,Tennessee
"Hamilton County, Tennessee",360919,32839,44952,12.45%,Hamilton County,Tennessee
"Hancock County, Tennessee",6587,23728,1814,27.54%,Hancock County,Tennessee
"Hardeman County, Tennessee",25443,18172,3816,15.0%,Hardeman County,Tennessee
"Hardin County, Tennessee",25715,24243,5075,19.74%,Hardin County,Tennessee
"Hawkins County, Tennessee",56611,24695,10621,18.76%,Hawkins County,Tennessee
"Haywood County, Tennessee",17623,21839,3267,18.54%,Haywood County,Tennessee
"Henderson County, Tennessee",27977,22695,5183,18.53%,Henderson County,Tennessee
"Henry County, Tennessee",32284,24124,6382,19.77%,Henry County,Tennessee
"Hickman County, Tennessee",24813,22856,4308,17.36%,Hickman County,Tennessee
"Houston County, Tennessee",8164,22360,1321,16.18%,Houston County,Tennessee
"Humphreys County, Tennessee",18435,25428,2806,15.22%,Humphreys County,Tennessee
"Jackson County, Tennessee",11682,21037,2196,18.8%,Jackson County,Tennessee
"Jefferson County, Tennessee",53679,25159,6822,12.71%,Jefferson County,Tennessee
"Johnson County, Tennessee",17753,22107,3892,21.92%,Johnson County,Tennessee
"Knox County, Tennessee",461104,33229,65448,14.19%,Knox County,Tennessee
"Lake County, Tennessee",7401,15732,1315,17.77%,Lake County,Tennessee
"Lauderdale County, Tennessee",25989,18515,4888,18.81%,Lauderdale County,Tennessee
"Lawrence County, Tennessee",43390,21720,7250,16.71%,Lawrence County,Tennessee
"Lewis County, Tennessee",12027,21516,2295,19.08%,Lewis County,Tennessee
"Lincoln County, Tennessee",33924,26965,4919,14.5%,Lincoln County,Tennessee
"Loudon County, Tennessee",52340,31478,5845,11.17%,Loudon County,Tennessee
"McMinn County, Tennessee",53053,23885,9937,18.73%,McMinn County,Tennessee
"McNairy County, Tennessee",25844,20934,4783,18.51%,McNairy County,Tennessee
"Macon County, Tennessee",23842,22527,4054,17.0%,Macon County,Tennessee
"Madison County, Tennessee",97625,26722,17412,17.84%,Madison County,Tennessee
"Marion County, Tennessee",28538,25467,4332,15.18%,Marion County,Tennessee
"Marshall County, Tennessee",32965,25410,4531,13.74%,Marshall County,Tennessee
"Maury County, Tennessee",91976,28970,9146,9.94%,Maury County,Tennessee
"Meigs County, Tennessee",12104,24525,2006,16.57%,Meigs County,Tennessee
"Monroe County, Tennessee",46064,23207,8326,18.07%,Monroe County,Tennessee
"Montgomery County, Tennessee",200180,26923,26060,13.02%,Montgomery County,Tennessee
"Moore County, Tennessee",6378,30658,484,7.59%,Moore County,Tennessee
"Morgan County, Tennessee",21545,20204,4232,19.64%,Morgan County,Tennessee
"Obion County, Tennessee",30365,23375,6267,20.64%,Obion County,Tennessee
"Overton County, Tennessee",22068,21808,3736,16.93%,Overton County,Tennessee
"Perry County, Tennessee",7962,27970,2099,26.36%,Perry County,Tennessee
"Pickett County, Tennessee",5079,24907,1001,19.71%,Pickett County,Tennessee
"Polk County, Tennessee",16814,25405,2473,14.71%,Polk County,Tennessee
"Putnam County, Tennessee",77447,24946,14041,18.13%,Putnam County,Tennessee
"Rhea County, Tennessee",32719,22336,6122,18.71%,Rhea County,Tennessee
"Roane County, Tennessee",53075,30209,7237,13.64%,Roane County,Tennessee
"Robertson County, Tennessee",70280,29524,7983,11.36%,Robertson County,Tennessee
"Rutherford County, Tennessee",315815,30159,34439,10.9%,Rutherford County,Tennessee
"Scott County, Tennessee",21969,20849,4687,21.33%,Scott County,Tennessee
"Sequatchie County, Tennessee",14816,23050,2874,19.4%,Sequatchie County,Tennessee
"Sevier County, Tennessee",97068,25283,13078,13.47%,Sevier County,Tennessee
"Shelby County, Tennessee",936374,30104,177675,18.97%,Shelby County,Tennessee
"Smith County, Tennessee",19740,28797,3482,17.64%,Smith County,Tennessee
"Stewart County, Tennessee",13427,24113,1821,13.56%,Stewart County,Tennessee
"Sullivan County, Tennessee",157050,28429,24615,15.67%,Sullivan County,Tennessee
"Sumner County, Tennessee",183437,33851,16277,8.87%,Sumner County,Tennessee
"Tipton County, Tennessee",61447,28457,7503,12.21%,Tipton County,Tennessee
"Trousdale County, Tennessee",10231,24795,947,9.26%,Trousdale County,Tennessee
"Unicoi County, Tennessee",17811,23455,3142,17.64%,Unicoi County,Tennessee
"Union County, Tennessee",19488,24010,4216,21.63%,Union County,Tennessee
"Van Buren County, Tennessee",5760,20634,947,16.44%,Van Buren County,Tennessee
"Warren County, Tennessee",40702,22802,8714,21.41%,Warren County,Tennessee
"Washington County, Tennessee",127805,29656,18955,14.83%,Washington County,Tennessee
"Wayne County, Tennessee",16693,20689,2635,15.79%,Wayne County,Tennessee
"Weakley County, Tennessee",33510,22755,6264,18.69%,Weakley County,Tennessee
"White County, Tennessee",26800,22040,4280,15.97%,White County,Tennessee
"Williamson County, Tennessee",225389,52702,9776,4.34%,Williamson County,Tennessee
"Wilson County, Tennessee",136666,34575,10383,7.6%,Wilson County,Tennessee
"Anderson County, Texas",57810,17280,6598,11.41%,Anderson County,Texas
"Andrews County, Texas",18036,30673,1647,9.13%,Andrews County,Texas
"Angelina County, Texas",87322,23147,15026,17.21%,Angelina County,Texas
"Aransas County, Texas",24462,30863,5127,20.96%,Aransas County,Texas
"Archer County, Texas",8716,34617,1033,11.85%,Archer County,Texas
"Armstrong County, Texas",1973,31749,174,8.82%,Armstrong County,Texas
"Atascosa County, Texas",49528,23890,7196,14.53%,Atascosa County,Texas
"Austin County, Texas",29764,30219,3583,12.04%,Austin County,Texas
"Bailey County, Texas",7100,21945,590,8.31%,Bailey County,Texas
"Bandera County, Texas",22215,29561,3455,15.55%,Bandera County,Texas
"Bastrop County, Texas",84522,27773,9230,10.92%,Bastrop County,Texas
"Baylor County, Texas",3577,22987,406,11.35%,Baylor County,Texas
"Bee County, Texas",32611,18340,5120,15.7%,Bee County,Texas
"Bell County, Texas",348574,26677,46752,13.41%,Bell County,Texas
"Bexar County, Texas",1952843,27834,301755,15.45%,Bexar County,Texas
"Blanco County, Texas",11478,37998,1015,8.84%,Blanco County,Texas
"Borden County, Texas",613,34028,16,2.61%,Borden County,Texas
"Bosque County, Texas",18296,26636,2823,15.43%,Bosque County,Texas
"Bowie County, Texas",93373,27095,14534,15.57%,Bowie County,Texas
"Brazoria County, Texas",360677,34561,30317,8.41%,Brazoria County,Texas
"Brazos County, Texas",222981,27632,50496,22.65%,Brazos County,Texas
"Brewster County, Texas",9231,28915,1254,13.58%,Brewster County,Texas
"Briscoe County, Texas",1457,23933,233,15.99%,Briscoe County,Texas
"Brooks County, Texas",7141,14523,2724,38.15%,Brooks County,Texas
"Brown County, Texas",37855,27463,4545,12.01%,Brown County,Texas
"Burleson County, Texas",18058,30086,2095,11.6%,Burleson County,Texas
"Burnet County, Texas",46530,30980,4661,10.02%,Burnet County,Texas
"Caldwell County, Texas",42144,25086,7541,17.89%,Caldwell County,Texas
"Calhoun County, Texas",21668,27268,2923,13.49%,Calhoun County,Texas
"Callahan County, Texas",13856,26051,1462,10.55%,Callahan County,Texas
"Cameron County, Texas",421666,17430,120764,28.64%,Cameron County,Texas
"Camp County, Texas",12878,22449,2372,18.42%,Camp County,Texas
"Carson County, Texas",6009,34708,493,8.2%,Carson County,Texas
"Cass County, Texas",30059,23075,5455,18.15%,Cass County,Texas
"Castro County, Texas",7673,21884,1038,13.53%,Castro County,Texas
"Chambers County, Texas",41305,35916,4960,12.01%,Chambers County,Texas
"Cherokee County, Texas",52118,22391,8013,15.37%,Cherokee County,Texas
"Childress County, Texas",7253,21233,799,11.02%,Childress County,Texas
"Clay County, Texas",10403,29159,1259,12.1%,Clay County,Texas
"Cochran County, Texas",2887,21463,730,25.29%,Cochran County,Texas
"Coke County, Texas",3303,25285,398,12.05%,Coke County,Texas
"Coleman County, Texas",8334,27752,1135,13.62%,Coleman County,Texas
"Collin County, Texas",973977,44548,60908,6.25%,Collin County,Texas
"Collingsworth County, Texas",2969,25681,493,16.6%,Collingsworth County,Texas
"Colorado County, Texas",21224,29552,2080,9.8%,Colorado County,Texas
"Comal County, Texas",141642,38991,10712,7.56%,Comal County,Texas
"Comanche County, Texas",13529,26728,1485,10.98%,Comanche County,Texas
"Concho County, Texas",3266,21420,268,8.21%,Concho County,Texas
"Cooke County, Texas",40041,30704,5024,12.55%,Cooke County,Texas
"Coryell County, Texas",75280,22400,7829,10.4%,Coryell County,Texas
"Cottle County, Texas",1642,19797,505,30.76%,Cottle County,Texas
"Crane County, Texas",4802,27893,379,7.89%,Crane County,Texas
"Crockett County, Texas",3484,26178,637,18.28%,Crockett County,Texas
"Crosby County, Texas",5836,19443,1189,20.37%,Crosby County,Texas
"Culberson County, Texas",2214,15109,653,29.49%,Culberson County,Texas
"Dallam County, Texas",7304,27491,878,12.02%,Dallam County,Texas
"Dallas County, Texas",2606868,32653,395812,15.18%,Dallas County,Texas
"Dawson County, Texas",12813,20084,2840,22.16%,Dawson County,Texas
"Deaf Smith County, Texas",18736,21616,2995,15.99%,Deaf Smith County,Texas
"Delta County, Texas",5249,27667,1039,19.79%,Delta County,Texas
"Denton County, Texas",833822,41153,62681,7.52%,Denton County,Texas
"DeWitt County, Texas",20340,28910,2946,14.48%,DeWitt County,Texas
"Dickens County, Texas",2203,25025,410,18.61%,Dickens County,Texas
"Dimmit County, Texas",10438,16925,3477,33.31%,Dimmit County,Texas
"Donley County, Texas",3342,25534,447,13.38%,Donley County,Texas
"Duval County, Texas",11268,17637,2426,21.53%,Duval County,Texas
"Eastland County, Texas",18273,24548,3168,17.34%,Eastland County,Texas
"Ector County, Texas",160579,28954,18899,11.77%,Ector County,Texas
"Edwards County, Texas",1918,24689,165,8.6%,Edwards County,Texas
"Ellis County, Texas",173772,32571,15026,8.65%,Ellis County,Texas
"El Paso County, Texas",836062,21683,165719,19.82%,El Paso County,Texas
"Erath County, Texas",41841,27639,7305,17.46%,Erath County,Texas
"Falls County, Texas",17272,18745,4113,23.81%,Falls County,Texas
"Fannin County, Texas",34537,27112,3796,10.99%,Fannin County,Texas
"Fayette County, Texas",25141,30170,2929,11.65%,Fayette County,Texas
"Fisher County, Texas",3856,28750,575,14.91%,Fisher County,Texas
"Floyd County, Texas",5803,23617,847,14.6%,Floyd County,Texas
"Foard County, Texas",1275,27573,129,10.12%,Foard County,Texas
"Fort Bend County, Texas",765394,39994,56251,7.35%,Fort Bend County,Texas
"Franklin County, Texas",10716,28789,988,9.22%,Franklin County,Texas
"Freestone County, Texas",19714,24621,3260,16.54%,Freestone County,Texas
"Frio County, Texas",19871,19256,3618,18.21%,Frio County,Texas
"Gaines County, Texas",20706,23533,3143,15.18%,Gaines County,Texas
"Galveston County, Texas",332885,36819,40485,12.16%,Galveston County,Texas
"Garza County, Texas",6070,19997,829,13.66%,Garza County,Texas
"Gillespie County, Texas",26459,34077,2476,9.36%,Gillespie County,Texas
"Glasscock County, Texas",1510,31830,177,11.72%,Glasscock County,Texas
"Goliad County, Texas",7565,29855,980,12.95%,Goliad County,Texas
"Gonzales County, Texas",20731,27407,2886,13.92%,Gonzales County,Texas
"Gray County, Texas",22410,24686,3412,15.23%,Gray County,Texas
"Grayson County, Texas",131014,28011,16775,12.8%,Grayson County,Texas
"Gregg County, Texas",123443,26535,21494,17.41%,Gregg County,Texas
"Grimes County, Texas",27984,25638,4134,14.77%,Grimes County,Texas
"Guadalupe County, Texas",158966,31842,14297,8.99%,Guadalupe County,Texas
"Hale County, Texas",33826,20986,5046,14.92%,Hale County,Texas
"Hall County, Texas",3048,21907,685,22.47%,Hall County,Texas
"Hamilton County, Texas",8332,26930,1402,16.83%,Hamilton County,Texas
"Hansford County, Texas",5520,20410,947,17.16%,Hansford County,Texas
"Hardeman County, Texas",3945,24078,544,13.79%,Hardeman County,Texas
"Hardin County, Texas",56765,30399,6768,11.92%,Hardin County,Texas
"Harris County, Texas",4646630,32765,722792,15.56%,Harris County,Texas
"Harrison County, Texas",66580,27086,11290,16.96%,Harrison County,Texas
"Hartley County, Texas",5669,20563,251,4.43%,Hartley County,Texas
"Haskell County, Texas",5726,20394,1072,18.72%,Haskell County,Texas
"Hays County, Texas",213366,32118,28214,13.22%,Hays County,Texas
"Hemphill County, Texas",3994,31530,326,8.16%,Hemphill County,Texas
"Henderson County, Texas",81070,26121,13599,16.77%,Henderson County,Texas
"Hidalgo County, Texas",855176,17175,250879,29.34%,Hidalgo County,Texas
"Hill County, Texas",35689,26370,4383,12.28%,Hill County,Texas
"Hockley County, Texas",23064,23604,3662,15.88%,Hockley County,Texas
"Hood County, Texas",58318,35606,5615,9.63%,Hood County,Texas
"Hopkins County, Texas",36486,26821,5027,13.78%,Hopkins County,Texas
"Houston County, Texas",22954,19129,4308,18.77%,Houston County,Texas
"Howard County, Texas",36349,24547,5470,15.05%,Howard County,Texas
"Hudspeth County, Texas",4415,14239,886,20.07%,Hudspeth County,Texas
"Hunt County, Texas",94162,25926,14681,15.59%,Hunt County,Texas
"Hutchinson County, Texas",21344,24434,3083,14.44%,Hutchinson County,Texas
"Irion County, Texas",1620,28487,241,14.88%,Irion County,Texas
"Jack County, Texas",8852,24956,1255,14.18%,Jack County,Texas
"Jackson County, Texas",14816,27051,1942,13.11%,Jackson County,Texas
"Jasper County, Texas",35506,25269,6371,17.94%,Jasper County,Texas
"Jeff Davis County, Texas",2241,26531,85,3.79%,Jeff Davis County,Texas
"Jefferson County, Texas",254340,27094,41948,16.49%,Jefferson County,Texas
"Jim Hogg County, Texas",5231,16864,1576,30.13%,Jim Hogg County,Texas
"Jim Wells County, Texas",40972,21510,9388,22.91%,Jim Wells County,Texas
"Johnson County, Texas",167212,28579,16799,10.05%,Johnson County,Texas
"Jones County, Texas",19943,18081,1782,8.94%,Jones County,Texas
"Karnes County, Texas",15545,27612,2199,14.15%,Karnes County,Texas
"Kaufman County, Texas",123804,28634,13864,11.2%,Kaufman County,Texas
"Kendall County, Texas",43769,45866,2411,5.51%,Kendall County,Texas
"Kenedy County, Texas",568,15211,31,5.46%,Kenedy County,Texas
"Kent County, Texas",647,30543,87,13.45%,Kent County,Texas
"Kerr County, Texas",51843,32988,5880,11.34%,Kerr County,Texas
"Kimble County, Texas",4373,30099,964,22.04%,Kimble County,Texas
"King County, Texas",237,26199,25,10.55%,King County,Texas
"Kinney County, Texas",3659,23934,667,18.23%,Kinney County,Texas
"Kleberg County, Texas",30974,22646,7904,25.52%,Kleberg County,Texas
"Knox County, Texas",3705,23146,535,14.44%,Knox County,Texas
"Lamar County, Texas",49611,25038,8530,17.19%,Lamar County,Texas
"Lamb County, Texas",13123,22337,2453,18.69%,Lamb County,Texas
"Lampasas County, Texas",20862,29412,2280,10.93%,Lampasas County,Texas
"La Salle County, Texas",7416,21110,1098,14.81%,La Salle County,Texas
"Lavaca County, Texas",20021,32188,2083,10.4%,Lavaca County,Texas
"Lee County, Texas",17058,27227,2040,11.96%,Lee County,Texas
"Leon County, Texas",17225,30129,3023,17.55%,Leon County,Texas
"Liberty County, Texas",83702,23461,10708,12.79%,Liberty County,Texas
"Limestone County, Texas",23417,22595,4388,18.74%,Limestone County,Texas
"Lipscomb County, Texas",3398,28131,428,12.6%,Lipscomb County,Texas
"Live Oak County, Texas",12139,25370,1837,15.13%,Live Oak County,Texas
"Llano County, Texas",21047,37050,2211,10.51%,Llano County,Texas
"Loving County, Texas",98,33624,15,15.31%,Loving County,Texas
"Lubbock County, Texas",304808,27922,55155,18.09%,Lubbock County,Texas
"Lynn County, Texas",5830,24917,1053,18.06%,Lynn County,Texas
"McCulloch County, Texas",8057,24311,1326,16.46%,McCulloch County,Texas
"McLennan County, Texas",251089,25703,46207,18.4%,McLennan County,Texas
"McMullen County, Texas",774,31455,91,11.76%,McMullen County,Texas
"Madison County, Texas",14197,20748,1319,9.29%,Madison County,Texas
"Marion County, Texas",10017,27566,1901,18.98%,Marion County,Texas
"Martin County, Texas",5649,30548,474,8.39%,Martin County,Texas
"Mason County, Texas",4186,30388,447,10.68%,Mason County,Texas
"Matagorda County, Texas",36774,25172,6884,18.72%,Matagorda County,Texas
"Maverick County, Texas",58174,16779,15616,26.84%,Maverick County,Texas
"Medina County, Texas",50057,27475,5372,10.73%,Medina County,Texas
"Menard County, Texas",2119,25742,276,13.03%,Menard County,Texas
"Midland County, Texas",168167,39248,15871,9.44%,Midland County,Texas
"Milam County, Texas",24770,25714,3744,15.12%,Milam County,Texas
"Mills County, Texas",4889,27374,734,15.01%,Mills County,Texas
"Mitchell County, Texas",8523,21136,712,8.35%,Mitchell County,Texas
"Montague County, Texas",19489,28096,2995,15.37%,Montague County,Texas
"Montgomery County, Texas",571949,41211,52589,9.19%,Montgomery County,Texas
"Moore County, Texas",21399,23001,2712,12.67%,Moore County,Texas
"Morris County, Texas",12373,22971,2170,17.54%,Morris County,Texas
"Motley County, Texas",1252,29071,101,8.07%,Motley County,Texas
"Nacogdoches County, Texas",65339,23617,14803,22.66%,Nacogdoches County,Texas
"Navarro County, Texas",48995,23786,8150,16.63%,Navarro County,Texas
"Newton County, Texas",13914,21659,3357,24.13%,Newton County,Texas
"Nolan County, Texas",14904,25094,2359,15.83%,Nolan County,Texas
"Nueces County, Texas",361540,27740,58539,16.19%,Nueces County,Texas
"Ochiltree County, Texas",10131,23624,1522,15.02%,Ochiltree County,Texas
"Oldham County, Texas",2094,26408,152,7.26%,Oldham County,Texas
"Orange County, Texas",84069,30114,11029,13.12%,Orange County,Texas
"Palo Pinto County, Texas",28540,25150,5097,17.86%,Palo Pinto County,Texas
"Panola County, Texas",23327,26577,3353,14.37%,Panola County,Texas
"Parker County, Texas",133811,35142,10675,7.98%,Parker County,Texas
"Parmer County, Texas",9718,23859,1440,14.82%,Parmer County,Texas
"Pecos County, Texas",15815,21120,2041,12.91%,Pecos County,Texas
"Polk County, Texas",48913,25164,8238,16.84%,Polk County,Texas
"Potter County, Texas",119674,22568,22979,19.2%,Potter County,Texas
"Presidio County, Texas",6975,15337,2717,38.95%,Presidio County,Texas
"Rains County, Texas",11766,27938,1510,12.83%,Rains County,Texas
"Randall County, Texas",134026,34293,11104,8.28%,Randall County,Texas
"Reagan County, Texas",3766,25600,357,9.48%,Reagan County,Texas
"Real County, Texas",3408,18235,780,22.89%,Real County,Texas
"Red River County, Texas",12171,22689,2352,19.32%,Red River County,Texas
"Reeves County, Texas",15492,20020,2033,13.12%,Reeves County,Texas
"Refugio County, Texas",7145,24248,1148,16.07%,Refugio County,Texas
"Roberts County, Texas",805,30955,93,11.55%,Roberts County,Texas
"Robertson County, Texas",16990,26033,2356,13.87%,Robertson County,Texas
"Rockwall County, Texas",97175,42346,4579,4.71%,Rockwall County,Texas
"Runnels County, Texas",10277,24402,1518,14.77%,Runnels County,Texas
"Rusk County, Texas",53755,26658,5769,10.73%,Rusk County,Texas
"Sabine County, Texas",10471,24870,2076,19.83%,Sabine County,Texas
"San Augustine County, Texas",8286,23683,1995,24.08%,San Augustine County,Texas
"San Jacinto County, Texas",28180,23312,4238,15.04%,San Jacinto County,Texas
"San Patricio County, Texas",67008,26054,10516,15.69%,San Patricio County,Texas
"San Saba County, Texas",5991,24961,742,12.39%,San Saba County,Texas
"Schleicher County, Texas",2983,26560,467,15.66%,Schleicher County,Texas
"Scurry County, Texas",17096,24552,2173,12.71%,Scurry County,Texas
"Shackelford County, Texas",3296,24852,436,13.23%,Shackelford County,Texas
"Shelby County, Texas",25349,21950,5685,22.43%,Shelby County,Texas
"Sherman County, Texas",3059,30467,448,14.65%,Sherman County,Texas
"Smith County, Texas",227449,28483,34116,15.0%,Smith County,Texas
