Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
The after hours,,9780747587897,"Kneece, Mark [person] ; Isaacs, Rebekah [person] ; Serling, Rod, 1924-1975 [person]",Rod Serling's The twilight zone,,England,London,Bloomsbury,2009,Comic or graphic novel ; Fiction ; Science fiction ; Young adult fiction
The age of chaos,,9781846533990,"Mitchell, Barrie, author [person] ; Burns, John, 1938-, author [person] ; Baker, Colin, 1943-, author [person]",Doctor Who,,England,Tunbridge Wells,Panini Publishing,2020,Comic or graphic novel ; Fiction ; Science fiction
The airship adventures of Little Nemo,Luftschiffabenteuer von Little Nemo. English,9783836565356,"Braun, Alexander, author [person] ; Haupt, Hayley Blair, translator [person] ; McCay, Winsor, illustrator [person]",,,Germany,Köln,Taschen,2017,Comic or graphic novel ; Fiction
The alcoholic,,9781848560987,"Ames, Jonathan [person] ; Haspiel, Dean [person]",,,England,London,Titan,2008,Comic or graphic novel ; Fiction
The all killer no filler Deadpool collection,Deadpool collection,,,,,England,London,Hachette,2017-,Comic or graphic novel ; Periodical
The alliance of the curious,,9781594650338,"Riche, Philippe, 1971- [person]",,,United States of America,"Los Angeles, California",Humanoids,2012,Comic or graphic novel ; Novel
The amazing Joy Buzzards,Amazing Joy Buzzards (Comic strip) ; Amazing Joy Buzzards. Volume 1,9781582404981,"Hipp, Dan, artist [person] ; Smith, Mark Andrew, 1979-, author [person]",,,United States of America,"Berkeley, California",Image Comics,2005,Comic or graphic novel
The amazing Nightcrawler,,9781302915773,"McGuire, Seanan, author [person] ; Frigeri, Juan, artist [person]",Age of X-man,,United States of America,New York,Marvel Worldwide,2019,Comic or graphic novel ; Fiction ; Science fiction
The amazing Spider Man : Human Torch,Spider-Man & the Human Torch,9780785140047,"Slott, Dan [person] ; Templeton, Ty [person]",,,United States of America,New York,Marvel,2009,Comic or graphic novel ; Fiction
The amazing Spiderman : soul of the hunter,,9780871359421,"McLeod, Bob [person] ; Zeck, Mike [person] ; DeMatteis, J. M. [person]",,,England ; United Kingdom ; United States of America,New York,Marvel,1992,Comic or graphic novel
The amazing immortal man and other bloody tales,,9781302912499,"Motter, Dean, author [person] ; Wells, Zeb, author [person] ; Spears, Rick, author ; writer [person]",Wolverine,,United States of America,New York,Marvel Worldwide,2018,Comic or graphic novel ; Fiction
The amazing snox box,,9781887128575,"Ellsworth, Tom [person] ; Gage, Brian [person]",,,England ; United States of America,London ; New York,Soft Skull ; Turnaround,2003,Comic or graphic novel ; Novel
The amulet of the great pyramid,Talisman de la grande pyramide. English,9781849182409,"De Gieter, artist ; author [person]",Papyrus,6 [Papyrus],England,"Canterbury, Kent",Cinebook,2015,Children's fiction ; Comic or graphic novel
The ancient formula : a mystery with fractions,,9780761370109,"Thielbar, Melinda [person]",Manga maths mysteries,,England,London,Lerner,2011,Children's fiction ; Comic or graphic novel ; Detective and mystery
The anger of the great Sphinx,Colère du grand Sphinx. English,9781849181150,De Gieter [person],Papyrus,5 [Papyrus],England,Canterbury,Cinebook,2012,Children's fiction ; Comic or graphic novel ; Novel
The antifa comic book : 100 years of fascism and antifa movements around the world,,9781551527338,"Hill, Gord, artist ; author [person]",,,Canada,Vancouver,Arsenal Pulp Press,2018,Comic or graphic novel
The apocalypse : year two,East of West : yr 02,9781534300590,"Hickman, Jonathan, author [person] ; Dragotta, Nick, artist [person] ; Martin, Frank, 1981 September- [person] ; Wooton, Rus [person]",East of West,,United States of America,"Portland, Oregon",Image Comics,2017,Comic or graphic novel
The apocalypse war : featuring Block mania,2000 AD ; Block mania,9781840236347,"Ezquerra, Carlos [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",Judge Dredd,,England,London,Titan,2003,Comic or graphic novel ; Fiction ; Science fiction
The apocalypse war,,9781840238150,"Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",2000 AD presents ; Judge Dredd,,England,London,Titan,2004,Comic or graphic novel ; Fiction ; Science fiction
The apostle,,9781613281710,"Alcorn, Randy C., author [person]",,,United States of America,Bartlesville,Voice of the Martyrs,2020,Comic or graphic novel ; Fiction ; Novel
The archangels of Vinea,Archanges de Vinéa. English,9781849184380,"Saincantin, Jerome, translator [person] ; Leloup, Roger, 1933-, artist ; author [person]",Yoko Tsuno,14 [Yoko Tsuno],England,Canterbury,Cinebook,2019,Children's fiction ; Comic or graphic novel ; Science fiction
The archers,,9781905460670,"Hamme, Jean van, 1939- [person] ; Rosiński, Grzegorz [person]",Thorgal,volume 4 [Thorgal],England,Ashford,Cinebook,2008,Comic or graphic novel ; Fiction ; Translations into English
The argonauts,Argonautica,9781906814755,"Apollonius, rhodius [person]",Classics illustrated,number 48 [Classics illustrated],England,"Newbury, Berkshire",Classic Comic Store,2013,Adaptation ; Comic or graphic novel
The aristo,Guido the Jinx -- ; Killing distance ; Modesty Blaise. The killing distance ; The killing distance --,9781781167120,"O'Donnell, Peter, 1920-2010, author [person] ; Romero, Enrique, 1930-, artist [person]",,,England,London,Titan,2015,Comic or graphic novel ; Detective and mystery ; Novel
The arrival,,9781600104039,"Brizuela, Dario [person] ; Isenberg, Marty [person] ; Matere, Marcelo [person]",Transformers animated,,England ; United States of America,"London ; San Diego, California",Diamond,2009,Comic or graphic novel ; Fiction ; Science fiction
The art of Charlie Chan Hock Chye,,9781101870693,"Liew, Sonny, 1974-, artist ; author [person]",,,United States of America,New York,Knopf,2016,Comic or graphic novel ; Fiction ; Novel
The art of Emily the Strange,,9781595823717,"Reger, Rob [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2009,Comic or graphic novel
The art of Harley Quinn,,9781785657252,"Farago, Andrew, author [person]",,,England,London,Titan,2017,Comic or graphic novel
The art of Jim Lee,Alpha Flight ; Punisher war journal ; X-men (Comic strip),9781905239412,"Lee, Jim, 1964- [person]",Marvel graphic novel ; Marvel masters,,England,Tunbridge Wells,Panini,2006,Comic or graphic novel ; Novel
The art of Modesty Blaise,IllustrationArtGallery.com presents the art of Modesty Blaise ; Modesty Blaise,9781907081262,"Colvin, Neville, artist [person] ; Burns, John, 1938-, artist [person] ; Wright, Pat, 1945-, artist [person] ; O'Donnell, Peter, 1920-2010 [person] ; Holdaway, Jim, artist [person] ; Romero, Enrique, 1930-, artist [person] ; Blackmore, Lawrence, writer [person]",,,England,London,Book Palace,2014,Comic or graphic novel
The art of Pho,,9780224089845,"Hanshaw, Julian, 1971- [person]",,,England,London,Jonathan Cape,2010,Comic or graphic novel ; Fiction ; Novel
The art of Sin City,,9781616552473,"Miller, Frank, 1957-, artist ; author [person]",,,United States of America,Milwaukie,Dark Horse,2014,Comic or graphic novel
The art of Sonic the Hedgehog comics,,9781627389365,"Flynn, Ian, 1982-, author [person]",,,United States of America,Mamaroneck,Archie,2016,Comic or graphic novel
The art of Spawn,,9781582406886,"McFarlane, Todd [person]",,,England ; United States of America,"Berkeley, California ; London",Diamond ; Image,2007,Children's literature ; Comic or graphic novel
The art of blood and fire,,9781606905296,"Salonga, Noah, artist [person] ; Simone, Gail, author [person] ; Geovanni, Walter, artist [person]",Red Sonja,volume 2 [Red Sonja],United States of America,"Mount Laurel, New Jersey",Dynamite,2014,Comic or graphic novel ; Fantasy ; Fiction
The art of loving,,,"Eiki, Eiki [person]",,,England ; United States of America,"Carson, California ; London",Diamond ; Digital Manga,2006-,Comic or graphic novel ; Erotic ; Fiction
The art of vampire hunter D,,9781600100796,"Kawajiri, Yoshiaki [person]",,,England ; United States of America,"London ; San Diego, California",Diamond,2007,Comic or graphic novel ; Fiction ; Horror
The art of war,,9781932796643,"Yan, Kevin [person] ; Ruffolo, Rob [person] ; Udon (Firm) [organisation] ; Ng, Joe [person] ; Raiz, James [person] ; Seeley, Tim [person] ; Ross, Rob [person] ; Liu, Tom [person] ; O'Sullivan, Mike [person] ; Crowley, Brian J. [person] ; M3th [person] ; Milne, Alex, 1980- [person]",G.I. Joe vs. Transformers,,United States of America,"Chicago, Illinois",Devil's Due,2006,Comic or graphic novel ; Fiction
The artist and other stories,,9781616559243,"Sakai, Stan, artist ; author [person]",Usagi Yojimbo gallery edition,2 [Usagi Yojimbo gallery edition],United States of America,Milwaukie,Dark Horse,2016,Comic or graphic novel ; Fiction
The artist behind Superman : the Joe Shuster story,Joe Shuster story,9780980653564 ; 9781629917771,"Campi, Thomas, 1975-, artist [person] ; Voloj, Julian, author [person]",,,United States of America,New York,Super Genius,2018,Biography ; Comic or graphic novel
The astonishing exploits of Lucien Brindavoine,,9781606996492,"Thompson, Kim, 1956-, translator [person] ; Tardi, Jacques, author [person]",,,England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2013,Comic or graphic novel
The attack,Attentat,9781770857612,"Dauvillier, Loïc, 1971-, artist ; author [person] ; Hahnenberger, Ivanka, translator [person] ; Chapron, Glen, 1982-, illustrator [person] ; Khadra, Yasmina [person]",,,United States of America,"Buffalo, New York",Firefly,2016,Comic or graphic novel ; Novel
The authority : revolution,Authority : revolution. Book one,,"Brubaker, Ed, author [person] ; Friend, Richard, artist ; illustrator [person] ; Nguyen, Dustin, artist [person]",,,United States of America,"La Jolla, California",WildStorm Productions,2005,Comic or graphic novel ; Science fiction
The autobiography of Matt Murdock,,9780785198024,"Waid, Mark, 1962-, author [person] ; Samnee, Chris, artist [person]",Daredevil,4 [Daredevil],United States of America,New York,Marvel Worldwide,2015,Comic or graphic novel ; Fiction ; Science fiction
The automaton,,9781935002499,"Allor, Paul, author [person] ; Evenhuis, Chris, artist [person] ; Marts, Michael, editor [person]",Monstro mechanica,volume 1 [Monstro mechanica],United States of America,"Sherman Oaks, California",Aftershock Comics,2017,Comic or graphic novel
The awakening,,9781406243246,"Campos, Claudia [person] ; Lemke, Donald B. [person]",Good vs evil,,England,London,Raintree,2012,Children's fiction ; Comic or graphic novel ; Novel
The awaking,Penny Dreadful. The awaking. Artist's edition. 1 ; Penny dreadful (Television program),9781785868771,"King, Chris (Christopher William), author [person] ; Hervás, Jesús, artist [person] ; Wordie, Jason [person] ; Steen, Rob, 1964- [person]","Penny Dreadful, artist's edtion","volume 1 [Penny Dreadful, artist's edtion]",England,London,Titan Comics,2019,Comic or graphic novel ; Horror ; Novel
The bad doctor,,9781908434289,"Williams, Ian, physician, author [person]",,,England,Brighton,Myriad,2014,Comic or graphic novel ; Fiction ; Novel
The bad seed,,9781848567689,"Willingham, Bill [person] ; Passalaqua, Allen [person] ; Leigh, Rob [person] ; Merino, Jesús [person] ; Sturges, Lilah [person]",,,United States of America,New York,DC Comics,2010,Comic or graphic novel ; Fiction
The balance,,9781772940091,"Capcom Co [organisation] ; Moylan, Matt, editor [person] ; Siu-Chong, Ken, author [person] ; Ng, Joe, artist [person]",Street Fighter unlimited,volume 3 [Street Fighter unlimited],Canada,"Richmond Hill, Ontariotario",Udon Entertainment,2017,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
The ballad of Halo Jones,,9781905437184,"Gibson, Ian [person] ; Moore, Alan, 1953- [person]",,,England,Oxford,Rebellion,2006,Comic or graphic novel ; Fiction ; Science fiction
The ballad of Olive Silverlock,,9781401274740,"Cloonan, Becky, author [person] ; Fletcher, Brenden, author [person] ; Kerschl, Karl, author [person] ; Archer, Adam, artist [person]",Gotham Academy. Second semester,2 [Gotham Academy. Second semester],United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel ; Fiction ; Science fiction
The ballad of the Daltons and other stories,Balade des Dalton et autres histoires. English,9781849183093,"Morris, 1923-2001, artist ; author [person] ; Goscinny, 1926-1977, author [person] ; Saincantin, Jerome, translator [person] ; Greg, 1931-1999, author [person]",A Lucky Luke adventure,60 [A Lucky Luke adventure],England,"Canterbury, Kent",Cinebook,2016,Children's fiction ; Comic or graphic novel ; Translations into English
The ballad of the red goddess,,9781524108076 ; 9781524108502,"Casas, Santi, artist [person] ; Thomas, Roy, 1940-, author [person] ; Maroto, Esteban, artist [person]",Red Sonja,,United States of America,Mount Laurel,Dynamite Entertainment,2019,Comic or graphic novel ; Fantasy ; Fiction
The band,Band. English,9781906653156,Mawil [person],,,England,London,Blank Slate,2011,Comic or graphic novel ; Fiction ; Novel
The battle begins,,9781600104992,"Miroglio, Brian, 1981- [person] ; Kurtz, Rob (Robert J.) [person]",Robot Galaxy ; WA reader,2 [Robot Galaxy] ; level 2 [WA reader],United States of America,"San Diego, California",Worthwhile Adventures,2009,Comic or graphic novel ; Fiction ; Science fiction ; Young adult fiction
The battle for Jericho Hill,,9780785129547,"David, Peter (Peter Allen) [person] ; Furth, Robin, 1965- [person] ; Lee, Jae, 1972- [person]",The dark tower,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,Comic or graphic novel ; Fiction
The bawlplayers and other stories,,9781595823649,"Tripp, Irving [person] ; Stanley, John, 1914-1993 [person]",Little Lulu,volume 20 [Little Lulu],United States of America,"Milwaukie, Oregon",Dark Horse,2009,Comic or graphic novel ; Fiction
The beast boy who cried wolf,,9781406279450,"Anderson, Brad, artist [person] ; Stucker, Lary, artist [person] ; Fletcher, Jared K., artist [person] ; Torres, J., 1969-, author [person] ; Nauck, Todd, artist [person]",Teen Titans go!,,England,London,Raintree,2014,Children's fiction ; Comic or graphic novel ; Science fiction
The beautiful province,Belle province. English,9781849182492,"Saincantin, Jerome, translator [person] ; Morris, 1923-2001 [person] ; Gerra, Laurent, 1967-, author [person] ; Achdé, 1961-, artist [person] ; Ducasse, Anne-Marie [person]",A Lucky Luke adventure,52 [A Lucky Luke adventure],England,"Canterbury, Kent",Cinebook,2015,Children's fiction ; Comic or graphic novel ; Western
The beckoning,,9781616559816,"Yeates, Thomas, artist ; author [person]",Tarzan,,United States of America,Milwaukie,Dark Horse,2016,Comic or graphic novel ; Fiction ; Novel
The bedsit journal,,,,,,England,Brighton,Bedsit Journal,2007-,Comic or graphic novel ; Fiction ; Periodical
The beekeeper,"1000 oceans ; Baker baker ; Beauty of speed ; Bouncing off clouds ; Caught a lite sneeze ; Comic book tattoo : narrative art inspired by the lyrics and music of Tori Amos ; Cornflake girl ; Crazy ; Crucify ; Devils and Gods ; Father Lucifer ; Flying Dutchman ; Girl ; Glory of the 80's ; God ; Gold dust ; Here, in my head ; Hey Jupiter ; Honey ; I can't see New York ; Jackie's strength ; Leather ; Lieee ; Little Amsterdam ; Little earthquakes ; Marianne ; Merman ; Mr. Zebra ; Northern lad ; Pandora's aquarium ; Past the mission ; Pirates ; Precious things ; Pretty good year ; Programmable soda ; Ribbons undone ; Roosterspur Bridge ; Scarlet's walk ; Silent all these years ; Siren ; Snow cherries from France ; Space dog ; Suede ; Sugar ; Sweet the sting ; Take to the sky ; Teenage hustling ; The waitress ; Toast ; Upside down ; Winter",9781582409641 ; 9781582409658 ; 9781582409665 ; 9781607060314,"Hoseley, Rantz [person] ; Amos, Tori [person]",,,United States of America,"Berkeley, California",Image Comics,2008,Comic or graphic novel
The beginning of the end,,9780785125549,"Pelletier, Paul, 1970- [person] ; McDuffie, Dwayne [person]",Fantastic Four,,England ; United States of America,London ; New York,Diamond ; Marvel,2008,Comic or graphic novel ; Fiction ; Science fiction
The being,,9781912278053,"Nowicka, Agata, artist ; author [person] ; Hirszfeld, Aleksandr, artist ; author [person]",,,England,London,Centrala,2018,Comic or graphic novel ; Fiction ; Novel
The best American comics 2012,,9780547691121,"Madden, Matt [person] ; Mouly, Françoise [person] ; Abel, Jessica [person]",Best American series,,United States of America,Boston,Houghton Mifflin Harcourt,2012,Comic or graphic novel ; Novel
The best of Alex 2007,,9781853756313,"Taylor, Russell, 1960- [person] ; Peattie, Charles [person]",,,England,London,Prion,2007,Caricature or cartoon ; Comic or graphic novel
The best of Alex 2008,,9781853756894,"Taylor, Russell, 1960- [person] ; Peattie, Charles [person]",,,England,London,Prion,2008,Caricature or cartoon ; Comic or graphic novel
The best of Alex 2010,,9781853757839,"Taylor, Russell, 1960- [person] ; Peattie, Charles, 1958- [person]",,,England,London,Prion,2010,Caricature or cartoon ; Comic or graphic novel
The best of Alex 2012,,9781853758591,"Taylor, Russell, 1960- [person] ; Peattie, Charles [person]",,,England,London,Prion,2012,Caricature or cartoon ; Comic or graphic novel
The best of Alex 2013,,9781853759024,"Taylor, Russell, 1960-, author [person] ; Peattie, Charles, artist ; author [person]",,,England,London,Prion,2013,Caricature or cartoon ; Comic or graphic novel
The best of Alex 2014,,9781853759161,"Taylor, Russell, 1960-, author [person] ; Peattie, Charles, artist ; author [person]",,,England,London,Prion,2014,Caricature or cartoon ; Comic or graphic novel
The best of Alex 2015,,9781853759352,"Taylor, Russell, 1960-, author [person] ; Peattie, Charles, artist ; author [person]",,,England,London,Prion,2015,Caricature or cartoon ; Comic or graphic novel
The best of Alex 2016,,9781853759666,"Taylor, Russell, 1960-, author [person] ; Peattie, Charles, artist ; author [person]",,,England,London,Prion,2016,Caricature or cartoon ; Comic or graphic novel
The best of Alex 2017,,9781853759871,"Taylor, Russell, 1960-, author [person] ; Peattie, Charles, artist ; author [person]",,,England,London,Prion,2017,Caricature or cartoon ; Comic or graphic novel
The best of Alex 2018,,9781911610175,"Taylor, Russell, 1960-, author [person] ; Peattie, Charles, artist ; author [person]",,,England,London,Prion,2018,Caricature or cartoon ; Comic or graphic novel
The best of Alex 2019,,9781911610274,"Taylor, Russell, 1960-, author [person] ; Peattie, Charles, artist ; author [person]",,,England,London,Prion,2019,Caricature or cartoon ; Comic or graphic novel
The best of Alex Toth and John Buscema Roy Rogers comics,,9781613451724,"Herman, Daniel, 1957-, editor [person] ; Toth, Alex, artist [person] ; Buscema, John, artist [person]",,,United States of America,New Castle,Hermes,2019,Comic or graphic novel ; Fiction
The best of Archie Americana,,9781682559321,,,,United States of America,Mamaroneck,Archie,2017,Comic or graphic novel ; Fiction
The best of Archie comics,,9781879794849,,,,England ; United States of America,"London ; Mamaroneck, New York",Archie ; Turnaround,2011,Comic or graphic novel ; Fiction
The best of Bart Simpson,Simpsons comics presents the best of Bart Simpson,,,,,England,London,Titan Magazines,2009-,Comic or graphic novel ; Periodical
The best of Bunty annual,Bunty annual ; Bunty for girls,9781908152794,,,,England,"Exeter, Devon",Pedigree,2014,Children's fiction ; Comic or graphic novel
The best of Curse of the Spawn,,9781582406169,"Turner, Dwayne [person] ; Crain, Clayton [person] ; Miki, Danny [person] ; Haberlin, Brian [person] ; McElroy, Alan [person]",,,United States of America,"Berkeley, California",Todd McFarlane Productions & Image Comics,2006,Comic or graphic novel ; Fiction
The best of Dilbert,Always postpone meetings with time-wasting morons. Selections,9780752215006,"Adams, Scott, 1957- [person]",,,England,London,Boxtree,2002,Comic or graphic novel
The best of Don Figueroa,,9781600100819,"Figueroa, Don [person]",Transformers,,United States of America,"San Diego, California",,2007,Comic or graphic novel
The best of From the tomb,From the tomb (Magazine),9781605490434,"Normanton, Peter, editor [person]",,,England,"Raleigh, North Carolina",TwoMorrows Publishing,2012,Comic or graphic novel
The best of Judge Dredd,,9781853757181,,,,England,London,Prion,2009,Comic or graphic novel ; Fiction
The best of June and Schoolfriend,June and schoolfriend,9781853756252,"Maiklem, Lara [person] ; Russell, Lorna [person]",,,England,London,Prion,2007,Children's literature ; Comic or graphic novel
The best of Pantha : the Warren stories,Best of Pantha featuring Vampirella : the Warren stories ; Vampirella,9781606904657,,,,United States of America,"Mount Laurel, New Jersey",Dynamite,2013,Comic or graphic novel
The best of Roy of the Rovers : the 1970s,,9781848560246,"Tully, Tom [person] ; Sque, David [person]",,,England,London,Titan,2009,Children's fiction ; Comic or graphic novel ; Fiction
The best of Roy of the Rovers : the 1980s,,9781845769482,"Tully, Tom [person] ; Sque, David [person]",,,England,London,Titan,2008,Children's fiction ; Comic or graphic novel
The best of Sabrina the teenage witch,,9781879794757,"Holly G! (Holly Golightly) [person] ; Golliher, Bill [person]",,,England ; United States of America,"London ; Mamaroneck, New York",Archie ; Turnaround,2011,Children's fiction ; Comic or graphic novel
The best of Simon Furman,,9781600100581,"Furman, Simon [person]",Transformers,,United States of America,"San Diego, California",,2007,Comic or graphic novel ; Fiction
The best of Simon and Kirby,,9781845769314,"Kirby, Jack [person] ; Simon, Joe [person] ; Saffel, Steve [person]",,,England,London,Titan,2009,Comic or graphic novel ; Fiction
The best of Snake Eyes,,9781600104701,"Whigham, Rod, 1954- [person] ; Springer, Frank, 1929-2009 [person] ; Heath, Russ [person] ; Hama, Larry [person]",G.I. Joe,,England ; United States of America,"London ; San Diego, California",Diamond,2009,Comic or graphic novel ; Fiction
The best of Storm Shadow,,9781600104718,"Vosberg, Mike [person] ; Hama, Larry [person]",G.I. Joe,,England ; United States of America,"London ; San Diego, California",Diamond,2009,Comic or graphic novel ; Fiction
The best of The joy of tech,,9780596005788,Snaggy [person] ; Nitrozac [person],,,China ; England,Beijing ; Farnham,O'Reilly,2003,Comic or graphic novel
The best of Tom and Jerry,Best of Tom and Jerry,,,,,England,Oldham,Just Publishing,2001-2002,Comic or graphic novel ; Periodical
The best of Vampirella : masters series omnibus,,9781524104306,"Smith, Cam, artist [person] ; Mayhew, Mike, artist [person] ; Palmiotti, Jimmy [person] ; Morrison, Grant, author [person] ; Frank, Gary, 1969-, artist [person] ; Lachance, Louis, 1965-, artist [person] ; Robinson, James, 1963-, author [person] ; Jusko, Joe, artist [person] ; Sale, Tim, artist [person] ; Ellis, Warren, author [person] ; Moore, Alan, 1953-, author [person] ; Lilly, Mike (Mike P.), artist [person] ; Busiek, Kurt, author [person] ; Nyberg, John, artist [person] ; Conner, Amanda, artist [person] ; Loeb, Jeph, author [person] ; Carey, Mike, 1959-, author [person] ; Millar, Mark, author [person]",,,United States of America,"Montana Laurel, New Jersey",Dynamite Entertainment,2017,Comic or graphic novel ; Fiction ; Horror
The best of the Beezer annual,Beezer annual ; Beezer book ; Beezer book for boys and girls,9781908152763,,,,England,"Exeter, Devon",Pedigree,2014,Children's fiction ; Comic or graphic novel
The best of the Hotspur annual,Hotspur annual ; Hotspur book for boys,9781908152787,,,,England,"Exeter, Devon",Pedigree,2014,Children's fiction ; Comic or graphic novel
The best of the golden age Sheena,"Golden age Sheena : the best of the queen of the jungle ; Sheena, queen of the jungle",,"Iger, Jerry [person] ; Webb, Bob, 1929- [person] ; Aratow, Paul [person] ; Eisner, Will [person] ; Christy, Stephen [person]",,,United States of America,"Chicago, Illinois",Devil's Due Pub,2008-,Comic or graphic novel
The best there is,,9780785154877,"Van Meter, Jen, author [person] ; Edwards, Neil, artist [person] ; Simone, Gail, author [person]",Marvel now! ; Savage Wolverine,4 [Savage Wolverine],United States of America,New York,Marvel,2014,Comic or graphic novel ; Fiction ; Science fiction
The best times of your life,,,"Laskey, Philip, author [person]",,,United Kingdom,,Hearts Guild,1988,Comic or graphic novel
The betrayal knows my name,UraBoku ; Uragiri wa boku no namae wo shitteiru. English,,"Odagiri, Hotaru [person]",,,United States of America,New York,,2011-,Comic or graphic novel ; Fantasy ; Novel
The betrayal of Smurfblossom,,9781545805299,"Peyo, artist ; author [person]",Smurfs village behind the wall,2 [Smurfs village behind the wall],United States of America,New York,Papercutz,2019,Children's fiction ; Comic or graphic novel ; Translations into English
The betrayed sorceress : the island of the frozen seas,,9781849184434,"Hamme, Jean van, 1939-, author [person] ; Rosiński, Grzegorz, artist [person]",Thorgal,volume 0 [Thorgal],England,Canterbury,Cinebook,2019,Comic or graphic novel ; Fantasy ; Fiction
The betrothal of Sontar : collected comic strips from the pages of Doctor Who magazine,Doctor Who magazine,9781905239900,"Collins, Mike, 1961 May 5- [person] ; Tomlinson, John [person]",A Panini Books graphic novel ; Doctor Who,,England,Tunbridge Wells,Panini,2008,Comic or graphic novel ; Fiction
The big Kahn,,9781561635610,"Cinquegrani, Nicholas [person] ; Kleid, Neil [person]",,,England ; United States of America,London ; New York,Turnaround,2009,Comic or graphic novel ; Fiction ; Novel
The big adventures of Majoko,,,"Fuji, Machiko [person] ; Mizuna, Tomomi [person] ; Yuchi, Mieko [person]",,,Canada,"Richmond Hill, Ontario",Udon Entertainment Corp,2009-2011,Children's fiction ; Comic or graphic novel ; Novel
The big book of bad : the best of the worst of everything,,9781563893599,"Vankin, Jonathan, 1962- [person]",,,England ; United States of America,London ; New York,Paradox ; Turnaround,2001,Comic or graphic novel
The big book of freaks,Gahan Wilson's The big book of freaks,9781563892189,"Wilson, Gahan [person]",Factoid books,,United States of America,New York,Paradox Press,1996,Comic or graphic novel
The big book of losers,,9781563892530,"Kirchner, Paul [person] ; Chusid, Irwin [person] ; Collins, Nancy A. [person]",Factoid books,,United States of America,New York,Paradox Press,1997,Comic or graphic novel
The big book of thugs,,9781563892851,"Rose, Joel [person]",,,England ; United States of America,London ; New York,Paradox ; Turnaround,2001,Comic or graphic novel
The big book of vice,,9781563894541,"Vance, Steve [person]",,,England ; United States of America,London ; New York,Paradox ; Turnaround,2001,Comic or graphic novel
The big boom,,9781627389839,"Flynn, Ian, 1982-, author [person]",Sonic boom,1 [Sonic boom],United States of America,Mamaroneck,Archie,2015,Children's fiction ; Comic or graphic novel
The big country,,9781643378053,"Peeples, Quinton, author [person] ; Calero, Dennis, artist [person]",,,United States of America,Los Angeles,Humanoids,2019,Comic or graphic novel ; Fiction ; Western
The big dipper club and other stories,,9781595824202,"Tripp, Irving [person] ; Marge, 1904-1993 [person] ; Stanley, John, 1914-1993 [person]",Little Lulu,volume 22 [Little Lulu],United States of America,"Milwaukie, Oregon",Dark Horse,2010,Comic or graphic novel ; Fiction
The big feminist BUT,,9780615789385,"Reilly, Joan, artist [person] ; O'Leary, Shannon, author [person]",,,United States of America,Gainesville,Alternative Comics,2014,Comic or graphic novel
The big four,Quatre. English,9780007250653,"Paillou, Alain [person] ; Christie, Agatha, 1890-1976 [person]",The Agatha Christie adventures,,England,London,Harper,2007,Comic or graphic novel ; Detective and mystery ; Fiction
The big hoax,,9781787730502,"Mandrafina, Domingo, 1945-, artist [person] ; Trillo, Carlos, author [person]",,,England,London,Titan Comics,2020,Comic or graphic novel
The big lie,,9781524104177,"Del Col, Anthony, author [person] ; Dell'Edera, Werther, artist [person]",Nancy Drew and The Hardy Boys,,United States of America,Montana Laurel,Dynamite,2017,Comic or graphic novel ; Detective and mystery fiction ; Fiction
The big lift,,,,,,England,"West Didsbury, Manchester",B Comics,1987-,Comic or graphic novel
The big payback,,9781549307140,"Bachs, Ramon F., artist [person] ; Casey, Joe, author [person]",Accell,,United States of America,St Louis,Lion,2019,Comic or graphic novel ; Fiction ; Science fiction
The big ride,,9781606902202,"Ennis, Garth [person] ; Robertson, Darick [person] ; McCrea, John, 1966- [person] ; Braun, Russell [person]",The Boys,volume 9 [The Boys],England ; United States of America,"London ; Runnemede, New Jersey",Diamond ; Dynamite Entertainment,2011,Comic or graphic novel
The big sneeze,,9781631408328,Walt Disney Company [organisation],Disney comics ; Walt Disney's Donald Duck,,United States of America,"San Diego, California",,2017,Children's fiction ; Comic or graphic novel
The big squeeze,,9781846531262,"Staton, Joe [person]",SOUND pocket book ; Scooby-doo!,,England,Tunbridge Wells,Panini,2010,Children's fiction ; Comic or graphic novel
The big three,,9780785159384,"Englehart, Steve [person] ; Lee, Stan, 1922-2018 [person] ; Buscema, Sal [person]",Avengers,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,Comic or graphic novel ; Fiction
